,Site,clc_1,clc_2,clc_3,clc_4,clc_5
115,B0012,85.4,4.1,3.6,0.0,6.9
406,B0017,24.9,22.6,52.5,0.0,0.0
421,B0019,0.0,0.0,94.6,5.4,0.0
417,B0021,0.0,3.8,82.9,13.3,0.0
394,B0023,2.8,12.9,58.7,25.6,0.0
475,B0032,46.4,36.6,17.0,0.0,0.0
230,B0037,28.4,66.7,4.9,0.0,0.0
243,B0039,58.2,21.1,5.0,4.9,10.8
211,B0041,50.5,49.5,0.0,0.0,0.0
236,B0043,24.9,71.8,0.0,0.0,3.3
196,B0045,45.4,32.7,8.7,4.3,8.9
268,B0059,21.2,63.4,8.9,0.0,6.5
78,B0061,2.1,9.5,88.4,0.0,0.0
521,B0067,17.4,77.9,4.7,0.0,0.0
601,B0069,16.2,80.4,3.4,0.0,0.0
433,B0077,7.8,92.2,0.0,0.0,0.0
292,B0093,14.4,80.1,5.5,0.0,0.0
373,B0096,73.7,23.2,3.1,0.0,0.0
443,B0103,23.4,47.3,29.3,0.0,0.0
438,B0105,16.8,83.2,0.0,0.0,0.0
105,B0116,94.9,0.0,5.1,0.0,0.0
31,B0128,99.3,0.7,0.0,0.0,0.0
189,B0140,97.8,0.0,0.0,0.0,2.2
90,B0142,91.7,8.3,0.0,0.0,0.0
604,B0152,75.7,19.5,4.8,0.0,0.0
631,B0158,6.6,93.4,0.0,0.0,0.0
179,B0163,100.0,0.0,0.0,0.0,0.0
82,F0001,6.7,42.7,50.6,0.0,0.0
616,F0003,4.8,9.1,86.1,0.0,0.0
555,F0005,5.5,19.3,75.2,0.0,0.0
588,F0007,0.0,53.8,46.2,0.0,0.0
560,F0009,1.0,69.5,29.5,0.0,0.0
579,F0011,4.5,35.6,59.9,0.0,0.0
537,F0013,13.0,39.6,47.4,0.0,0.0
547,F0015,4.4,0.0,95.6,0.0,0.0
319,F0017,3.4,96.6,0.0,0.0,0.0
127,F0019,49.4,40.0,10.7,0.0,0.0
135,F0020,56.7,38.6,2.6,0.0,2.1
324,F0021,4.2,63.1,32.7,0.0,0.0
38,F0023,3.6,50.5,41.9,0.0,4.0
19,F0025,5.8,23.2,71.0,0.0,0.0
22,F0027,3.9,50.7,45.4,0.0,0.0
342,F0029,34.0,60.3,5.7,0.0,0.0
365,F0031,4.8,65.1,30.1,0.0,0.0
350,F0033,0.4,20.3,79.3,0.0,0.0
254,F0035,0.0,31.7,68.3,0.0,0.0
101,F0037,84.8,0.0,2.6,0.7,11.9
459,F0039,10.1,78.1,11.8,0.0,0.0
142,F0041,56.9,43.1,0.0,0.0,0.0
147,F0043,47.2,52.8,0.0,0.0,0.0
303,F0055,46.3,40.7,13.0,0.0,0.0
311,F0057,58.2,41.8,0.0,0.0,0.0
502,F0061,40.1,24.7,35.2,0.0,0.0
510,F0063,4.8,70.4,24.8,0.0,0.0
157,F0065,100.0,0.0,0.0,0.0,0.0
166,F0067,44.6,4.8,50.6,0.0,0.0
7,F0069,22.8,73.6,3.6,0.0,0.0
45,F0071,5.0,60.1,25.8,0.0,9.1
65,F0073,0.0,14.4,85.6,0.0,0.0
517,FE0001,5.8,91.1,3.1,0.0,0.0
